UM,NGC,CONSTELLATION,MAG,VIEW,Ang. Size (Amin), Rt. Asc., Declin., TYPE, OBJECT REMARKS
UGC 1887 ,NGC 914 ,ANDROMEDA,13,autumn,1.8,02 26.1,+42 09,"Galaxy -  , , ,eF;pL;dif , "
UGC 1915 ,NGC 923 ,ANDROMEDA,13.7,autumn,0.8,02 27.6,+41 59,"Galaxy -  , , ,vF;S;R;gsBM ,2nd of 3 "
UGC 1920 ,NGC 920 ,ANDROMEDA,13.9,autumn,1.5,02 27.9,+45 57,"Galaxy -  , , ,eF;eS;R;1or2 eF* nr ,IC 1799 group "
UGC 1956 ,NGC 933 ,ANDROMEDA,13.8,autumn,1.3,02 29.3,+45 55,"Galaxy -  , , ,eF;eS;R;B* nf ,IC 1799 group "
UGC 1961 ,NGC 937 ,ANDROMEDA,14.2,autumn,1.1,02 29.5,+42 15,"Galaxy -  , , ,vF* slightly neb , "
UGC 1979 ,NGC 946 ,ANDROMEDA,13.2,autumn,1.5,02 30.6,+42 14,"Galaxy -  , , ,F;S;R;glbM ,Compact "
OCL 377 ,NGC 956 ,ANDROMEDA,8.9,autumn,8,02 32.5,+44 36,"Open Cluster - 30,9, ,Cl;pRi;*9...15 , "
PGC 9759 ,UGC 2034 ,ANDROMEDA,13.1,autumn,3.1,02 33.7,+40 32,"Galaxy -  , , ,13''-eF;pS;E 1.5X1; PA 0; nBM; *10m E tip , "
UGC 2063 ,NGC 980 ,ANDROMEDA,13,autumn,1.7,02 35.3,+40 56,"Galaxy -  , , ,vF;pS;sp of 2 ,H III 572 "
UGC 2066 ,NGC 982 ,ANDROMEDA,12.5,autumn,1.5,02 35.4,+40 52,"Galaxy -  , , ,F;S;nf of 2 ,H III 573 "
UGC 2080 ,IC 239 ,ANDROMEDA,11.1,autumn,4.6,02 36.5,+38 58,"Galaxy -  , , ,vF spiral;F stellar nucleus ,In NGC 1023 group;vsBN in smooth bar;low surface br "
UGC 2118 ,NGC 995 ,ANDROMEDA,13.4,autumn,1.7,02 38.5,+41 32,"Galaxy -  , , ,vF;vS , "
UGC 2123 ,NGC 996 ,ANDROMEDA,13,autumn,1.4,02 38.7,+41 39,"Galaxy -  , , ,vF;vS , "
IC 240 ,NGC 999 ,ANDROMEDA,13.5,autumn,0.9,02 38.8,+41 40,"Galaxy -  , , ,eF , "
MCG 7- 6- 48 ,NGC 1000 ,ANDROMEDA,15.5,autumn,0.8,02 38.8,+41 28,"Galaxy -  , , ,1637;pS;dif ,compact "
UGC 12276 ,NGC 7440 ,ANDROMEDA,13.5,autumn,1.4,22 58.5,+35 48,"Galaxy -  , , ,eF;S;iR , "
MCG 6-50- 15 ,NGC 7445 ,ANDROMEDA,15.6,autumn,0.7,22 59.4,+39 06,"Galaxy -  , , ,eF;vS , "
ZwG 515. 17 ,NGC 7446 ,ANDROMEDA,15.7,autumn,0.8,22 59.5,+39 05,"Galaxy -  , , ,eF;vS;R;r , "
UGC 12292 ,NGC 7449 ,ANDROMEDA,14,autumn,1,22 59.6,+39 09,"Galaxy -  , , ,vF;S;R;vS* in centre ,UGC 12292;Core mag=15.7 "
UGC 12516 ,NGC 7618 ,ANDROMEDA,13,autumn,1.2,23 19.8,+42 51,"Galaxy -  , , ,F;S;R;gbM , "
UGC 12554 ,NGC 7640 ,ANDROMEDA,11.3,autumn,10,23 22.1,+40 51,"Galaxy -  , , ,cF;L;mE164;vlbM;r ,H II 600;nearly edge on spiral "
Vy 2-3 ,PK 107-13.1 ,ANDROMEDA,13.9,autumn,4.6s,23 23.0,+46 54,"Planetary Nebulala -  ,14.7, , , "
MCG +07-48-005 ,UGC 12588 ,ANDROMEDA,13.2,autumn,1.9,23 24.7,+41 20,"Galaxy -  , , , , "
PK 106-17.1 ,NGC 7662 ,ANDROMEDA,8.6,autumn,17s,23 25.9,+42 32,"Planetary Nebulala -  ,14,BCH ,!!! Planetary or annular neb;vB;pS;R;blue ,Blue Snowball Nebula;H IV 18;Barnard-cent 400mm_bahtinov.svg 640mm_bahtinov.svg ABR_const.map Herschel400.xls ICObjects.xls Mcat.csv NGCObjects.xls Potporri.txt Readme.txt Revhist.txt SAC_DeepSky_ver81_Excel.xls SAC_deepsky.csv SAC_deepsky_proc.csv SAC_deepsky_test.csv Sac72.txt Sac72_mod.txt Sacdoc.txt astro_select astro_select_b const_seas.map coord_conv.pl junk.dat mesr-mas.xls messier.csv messier.xlsx messier_table ngc_proc.csv ngc_proc_sprdsht.csv ngc_raw.csv ngc_raw.xlsx sac72.zip temp.map tempx tempx.bkp tmp.txt trans type.map type2.map variable? "
PGC 71596 ,UGC 12632 ,ANDROMEDA,12.1,autumn,4.9,23 30.0,+41 00,"Galaxy -  , , , , "
OCL 251 ,NGC 7686 ,ANDROMEDA,5.6,autumn,15,23 30.1,+49 08,"Open Cluster - 20,6.2, H ,Cl;P;lC;st 7...11 ,H VIII 69;12* mags 8...13 "
UGC 12683 ,NGC 7707 ,ANDROMEDA,13.4,autumn,1.3,23 34.9,+44 18,"Galaxy -  , , ,eF;S;R;*9-10 p;vnr ,H III 579 "
 ,Av-Hunter 1 ,ANDROMEDA,99.9,autumn,47,23 37.8,+48 34,"Open Cluster - 16,8.6, , ,Includes variable star BM And "
K1-20 ,PK 110-12.1 ,ANDROMEDA,16.5,autumn,37s,23 39.1,+48 13,"Planetary Nebulala -  ,20, , ,13''-could not find; even with UHC filter "
 ,MCG +08-01-016 ,ANDROMEDA,12,autumn,1.0,23 59.2,+46 53,"Galaxy -  , , ,Inner Regions Completely Black--MCG ,Face On "
